date,BAL-UK,SPE-UK,DRE-UK,LRE-UK,EQ-UK,EQ-EXUK,GOVT-UK,TBILL-UK
Jun-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sep-04,102.6,105.9,104.1,108.9,102.9,101.9,103.0,101.1
Dec-04,107.4,113.9,108.8,127.1,109.7,106.5,106.2,102.3
Mar-05,110.1,116.6,111.6,121.4,113.1,108.2,106.1,103.6
Jun-05,114.8,122.2,116.4,130.9,118.7,115.1,111.2,104.8
Sep-05,120.0,128.2,121.5,138.1,128.4,122.6,111.6,106.0
Dec-05,127.1,140.3,129.1,151.5,133.9,134.5,114.6,107.2
Mar-06,133.0,148.5,134.9,176.4,144.8,142.2,113.8,108.5
Jun-06,139.8,157.3,141.4,165.7,142.1,130.2,112.4,109.6
Sep-06,145.6,164.7,147.1,190.1,147.3,133.1,115.6,110.9
Dec-06,151.1,172.3,152.6,226.3,156.4,142.2,115.2,112.2
Mar-07,154.9,176.2,156.4,214.0,160.9,147.7,114.2,113.7
Jun-07,158.1,179.6,160.1,189.2,168.2,155.9,111.1,115.2
Sep-07,155.9,175.5,158.7,168.6,165.2,157.3,115.9,116.8
Dec-07,142.9,158.2,147.2,143.1,164.7,158.8,120.6,118.6
Mar-08,137.4,148.5,142.4,143.8,148.4,142.0,122.9,120.2
Jun-08,133.0,138.2,138.3,111.8,146.3,147.4,118.3,121.7
Sep-08,125.3,127.1,131.4,121.2,128.5,138.3,123.9,123.3
Dec-08,108.5,97.0,114.2,78.8,115.4,122.2,137.0,124.8
Mar-09,99.9,82.3,106.2,56.3,104.9,112.4,135.9,125.6
Jun-09,96.5,76.3,103.9,65.3,116.3,121.2,134.0,125.8
Sep-09,98.4,78.7,107.4,88.7,142.3,150.2,138.7,126.0
Dec-09,106.3,89.7,117.6,84.7,150.1,157.5,135.9,126.1
Mar-10,111.4,96.3,124.5,88.4,159.8,173.6,137.4,126.3
Jun-10,114.7,100.2,128.6,79.7,140.9,167.2,143.7,126.4
Sep-10,116.8,102.5,131.5,87.5,160.1,168.2,149.0,126.6
Dec-10,118.9,106.6,135.3,93.7,171.9,188.3,145.8,126.7
Mar-11,121.2,109.6,138.4,99.9,173.7,182.1,144.6,126.9
Jun-11,123.3,111.8,141.2,106.5,177.0,185.5,148.3,127.1
Sep-11,125.3,113.2,143.9,87.9,153.1,162.3,161.6,127.2
Dec-11,126.8,114.6,145.9,84.7,166.0,170.6,170.4,127.4
Mar-12,127.5,115.1,147.1,95.1,176.1,190.2,167.3,127.5
Jun-12,127.6,115.2,147.7,96.5,171.5,179.0,173.9,127.6
Sep-12,127.6,115.4,148.8,104.0,179.5,191.1,175.8,127.8
Dec-12,127.0,115.9,150.1,113.4,186.4,194.6,175.1,127.8
Mar-13,128.0,116.4,152.0,115.7,205.6,220.4,176.3,127.9
Jun-13,129.8,118.5,154.9,122.7,202.2,216.2,169.5,128.0
Sep-13,133.0,120.6,159.3,130.4,213.5,230.4,170.3,128.1
Dec-13,138.6,125.8,166.5,137.7,225.2,234.3,167.9,128.2
Mar-14,143.2,129.0,172.5,148.4,223.8,236.8,171.7,128.3
Jun-14,149.4,137.4,180.7,150.7,228.8,245.0,173.7,128.4
Sep-14,155.4,143.0,188.6,154.0,226.5,253.9,180.7,128.5
Dec-14,162.5,147.9,196.4,170.6,227.8,264.8,193.0,128.7
Mar-15,167.0,151.1,202.1,187.4,238.5,287.6,197.5,128.8
Jun-15,172.5,156.4,209.2,185.2,234.7,277.1,190.1,128.9
Sep-15,177.7,161.1,216.0,190.5,221.3,254.7,196.4,129.1
Dec-15,182.8,167.0,222.5,190.4,230.1,271.7,193.8,129.2
Mar-16,184.7,167.5,225.1,171.7,229.1,285.9,204.1,129.4
Jun-16,184.9,168.3,228.3,154.4,239.9,283.2,217.8,129.5
Sep-16,183.7,164.5,225.5,171.4,258.6,337.2,223.3,129.7
Dec-16,187.8,166.6,230.5,169.2,268.6,362.3,215.0,129.8
Mar-17,191.6,169.5,235.5,172.2,279.4,379.3,218.5,129.8
Jun-17,196.0,172.8,241.2,178.7,283.4,392.8,215.4,129.8
Sep-17,200.7,176.0,247.1,177.9,289.4,385.8,214.5,129.8
Dec-17,206.9,180.2,254.3,193.3,303.8,413.1,219.2,129.9
Mar-18,210.8,182.0,259.2,186.3,282.9,392.4,219.9,130.0
Jun-18,215.0,183.2,263.7,196.0,308.9,423.0,220.1,130.1
